total_exact	total_pct	UISEvent_pct	UISEvent_exact	UIStudio_pct	UIStudio_exact	UISApi_pct	UISApi_exact	UISScreen_pct	UISScreen_exact	flags
10	221.195	46.510	1	63.540	0	61.616	5	49.530	4	opt=-O2,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	235.730	50.716	1	67.135	0	62.041	5	55.838	4	opt=-O3,s | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
14	317.986	74.279	1	89.021	0	86.374	6	68.312	7	opt=-O4,s | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
26	352.833	85.536	3	97.456	3	91.079	9	78.763	11	opt=-O4,p -opt nocse | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	263.848	58.885	1	71.402	0	68.439	5	65.121	4	opt=-O3,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
11	333.205	80.085	2	91.723	0	90.430	6	70.968	3	opt=-O4,p -opt nopeephole | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
28	356.736	85.727	4	96.338	3	94.583	9	80.089	12	opt=-O4,p -opt nolifetimes | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
19	354.635	85.324	2	97.225	2	93.389	8	78.698	7	opt=-O4,p -opt nopropagation | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	263.962	58.867	1	71.374	0	68.688	5	65.033	4	opt=-O4,p -opt noschedule | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline deferred | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	385.125	95.597	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	385.125	95.597	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto,deferred | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
27	315.835	61.684	4	96.022	2	85.833	10	72.296	11	opt=-O4,p | inline=-inline off | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse,readonly | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
29	360.854	87.036	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
25	354.120	84.689	3	97.391	3	93.663	10	78.378	9	opt=-O4,p -opt noloop | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	385.125	95.597	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
-1	-1.000	ERR	ERR	ERR	ERR	ERR	ERR	ERR	ERR	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c++ | cc=GC/2.5 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str readonly | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str noreuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
29	359.470	85.727	4	97.991	3	94.851	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract off | lang=-lang=c | cc=GC/2.5 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/1.3.2 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/1.1 | misc=
29	359.546	85.727	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/1.2.5 | misc=
19	354.635	85.324	2	97.225	2	93.389	8	78.698	7	opt=-O4,p | inline=-inline smart | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=-pragma "opt_propagation off"
